BGC0000286	AB183750	15712669
BGC0000287	AE004091	12426334
BGC0000288	AB538860	20562876
BGC0000289	AJ561198.1	12837387;15664522;16007453;16499611;17044690;17935335;20414653;17873036
BGC0000290	U82965	9177243;12060705;16492565
BGC0000291	DQ118863	16208464
BGC0000292	CH476597	23586797
BGC0000293	DS027698	19001367;2
BGC0000294	AB101202	15289555
BGC0000295	AB661448	23378574
BGC0000296	HM038106	10212227;10780924;20304989
BGC0000297	AM071396	17524987;20863139;19201978
BGC0000298	FJ609416	20863139;17524987;18614525
BGC0000299	mibig:BGC0000299	25140825
BGC0000300	GG657746	21699219
BGC0000301	EF672686	21622740
BGC0000302	GU174493	20338518
BGC0000303	EU195114	17584616
BGC0000304	GQ331953	20233305
BGC0000305	AB107223	23169772;20460722;14522057
BGC0000306	ABYX02000001	21999343
BGC0000307	EU886741	19084058
BGC0000308	CP002120	23302043
BGC0000309	AL009126	20805502;12817086
BGC0000310	AF007865	9427658
BGC0000311	Y16952	10390204;11495926;12404385;11880037;11932455
BGC0000312	FJ439897	19285149
BGC0000313	EU886196	18804027
BGC0000314	NZ_AHCC01000002	23798442;25140825
BGC0000315	AL645882	12000953;8843436
BGC0000316	EF472579	17496129
BGC0000317	JPKY01000002;JPKY01000040	25291769;23135477
BGC0000318	JPKY01000040	
BGC0000319	DS570624	8088547;9515708;10223939;10681345;11319114;11882698;14693539;14742203;14982786;15342599;15793135;18388457;19011915;19941870;20711575;23104404
BGC0000320	DQ360825.1	15640177;16512902;16910662;17041058;20038713;19994891;19246763;22571587;8082824;10429194
BGC0000321	KF496217	24123808
BGC0000322	AJ223999;AJ223998	9545426
BGC0000323	KJ513093	23405865
BGC0000324	AL645882	12000953;8843436
BGC0000325	AL645882	12000953;8843436
BGC0000326	AF386507	11447274
BGC0000327	AM238664	17074905;16956972
BGC0000328	AY391839	14679222
BGC0000329	KF192265	25231335
BGC0000330	AM260480	22381697
BGC0000331	DQ837301	17921284
BGC0000332	DQ075244	17464052
BGC0000333	CP000850	19474814;21815669
BGC0000334	AOHE01000194	23818858
BGC0000335	KJ710244	24735013
BGC0000336	AY787762	15870461
BGC0000337	ADNJ02000010	22232661;3268274
BGC0000338	JX421684;JX421685	22998630;23451921;6235127;4613708
BGC0000339	AB211309	16799553
BGC0000340	KJ156360	24865933
BGC0000341	DQ403252	17005978
BGC0000342	Z18755	8483420
BGC0000343	GQ370384	19710707
BGC0000344	CT573326	20023108
BGC0000345	KF647220	24168704;2106503;10383134
BGC0000346	KF647219	24168704;1468981;10465562;10468620
BGC0000347	AM909652	18990191
BGC0000348	EF125025	17308187
BGC0000349	AM420293	22187221
BGC0000350	HQ609499	21875091
BGC0000351	AF034152	9720878
BGC0000352	CR543861	23456955
BGC0000353	AF082100	9780228
BGC0000354	AJ488769	15942003
BGC0000355	CM000174	21899262;20225828;20804163;22344643;22902615;23330675;24121553
BGC0000356	AB436628	8698635;16520651;9677311;18321710;17016657;16755625;18683158;19226505;19763315;23109474;23649274;24082142
BGC0000357	AM920431	5371403;24887561
BGC0000358	EU431181	
BGC0000359	CP000088	
BGC0000360	FN821996	20710026
BGC0000361	AY838877;AAHF01000001;AAHF01000006	24847038;25126990;25311525;25062268;24039048;22936680;21749092;21513890;20548963;20593880;18199036;17601876;17154540;16956378;16757745;15979823
BGC0000362	AF143772	14523113
BGC0000363	AM231612	17490474
BGC0000364	AM231618	17490474
BGC0000365	AY439015	16194230;16140533
BGC0000366	KC215181	23336063
BGC0000367	AP008955	
BGC0000368	FN545130	19915026
BGC0000369	KJ502174	24742428
BGC0000370	M98024;L48797;U73650;X92391;AF038874;AF157629;AF169478;KC866372	8672886;11860263;23865912;16839576
BGC0000371	AP008957	24274668
BGC0000372	CM000171	25386169;23360537;7760082
BGC0000373	CM000913	22435762;1472501;10223939;2207091;15644894;17317567
BGC0000374	HQ542230	21439483;23790494;10.1039/C2SC21722H;10.1002/anie.199000641
BGC0000375	JX499187	23053349
BGC0000376	AB902962	25041948
BGC0000377	JF828091	21520944
BGC0000378	EU074211	17940045
BGC0000379	HM756254	21640802
BGC0000380	HM639990	22278953
BGC0000381	AE017333	15383718
BGC0000382	KJ872771	25239907
BGC0000383	BX470251	22544021
BGC0000384	AY588942	107586;15366877;20000453;22314229;13880125;24839542;23751865
BGC0000385	JF412274	21609846
BGC0000386	CP000085	22765305
BGC0000387	DQ532441	17506328
BGC0000388	AY735112	16723579
BGC0000389	EU199080;EU199081	17993540;17241198;22792073;19447950;14660362
BGC0000391	JN634585	22362652
BGC0000392	CP001630	22578145
BGC0000393	CP000113	16835859
BGC0000394	JQ996389	23841701
BGC0000395	AY541063	
BGC0000396	JF342711	22456448
BGC0000397	AY167420	12515465
BGC0000398	JQ309921	24673852
BGC0000399	CP000076	8704959;10383985
BGC0000400	JX899679	24607714
BGC0000401	HQ668144	21883794
BGC0000402	CP003355	25044543;2508017
BGC0000403	JQ745271	22958453
BGC0000404	DQ192518	16713314
BGC0000405	EF601124	1368505;2129535;7597101;11180058;17548217;20851974;18820685
BGC0000406	X65195	15574905
BGC0000407	JQ073773	22614917
BGC0000408	EU371992	19304848
BGC0000409	HQ872605	25128200
BGC0000410	EF484930	
BGC0000411	DQ151887	16585751;18599835
BGC0000412	AF074705	9846750;11208777
BGC0000413	CP000076	8704959;10383985
BGC0000414	AB819321	24269153
BGC0000415	JN852959	
BGC0000416	FN667742	19682255;19598185;18491867
BGC0000417	CP000431	21381663
BGC0000418	KJ364518	25022591
BGC0000419	CP008953	25114137
BGC0000420	AM920436	25998659;26668029;26729047;23776469;24225953;22118684
BGC0000421	AY061859	15773985
BGC0000422	DQ838002	17981978
BGC0000423	FN554889	23752895
BGC0000424	CP002039	23320867
BGC0000425	JQ309920	24673852
BGC0000426	KF318360.1	25118351
BGC0000427	CP000117	20813918
BGC0000428	FJ768674	19270142
BGC0000429	JF430460	21456593;11480883
BGC0000430	CP007203	19691450
BGC0000431	DS999644	24149839
BGC0000432	AB684619	22820420
BGC0000433	AJ575642	14762003
BGC0000434	AB375771	19514719
BGC0000435	AE016853	17601782
BGC0000436	AJVM01000074	24727275
BGC0000437	CP000075	11277431;12744455
BGC0000438	AF286216	11277431;12744455
BGC0000439	KF301601	24449899
BGC0000440	AJ605139	14702401;15113000;16007453;17009278;17044690;25358800
BGC0000441	AJ632270	15113000
BGC0000442	BN001305	17369821;20828130
BGC0000443	HQ888764	21551032;22586093;22121884
BGC0000444	AY707081	22941045
BGC0000445	AM113472	16408310
BGC0000446	mibig:BGC0000446	25157164;28977734;28972161;29389112
BGC0000447	HE967327	24222604;22031037;17244491;15165142
BGC0000448	FJ768957	19270147
BGC0000449	KF111342	24382692
BGC0000450	AB366635	
BGC0000451	CP001614	24146831
BGC0000452	AP008955	
BGC0000453	DQ174261	16511823
BGC0000454	AM168450	17159203
BGC0000455	HQ679900	24884615
BGC0000456	AB862312;AB862313;AB862314;AB862315	24848421
BGC0000457	CP000138	16505379
BGC0000458	AY263398	12936980
BGC0000459	JX508597	23161816;24782066;24617259
BGC0000460	AE016796	24478763
BGC0000461	JN596952	21930890
BGC0000462	JN982332;JN982333	22544260
BGC0000463	KC297505;KC297506	23690965
BGC0000464	FO704550	24203528
BGC0000465	FN667742	19682255;19598185;18491867
BGC0000466	JF429418	22612591
BGC0000467	Y12527	9457855
BGC0000468	HE983629	19115340;6337880;7014241;10.1039/C2SC21183A
BGC0000469	JX235926	23021914
BGC0000470	JX827389	22984777
BGC0000471	CP003614	23911585
BGC0000472	FJ461733	20008171
BGC0000473	AM774406	18245249
BGC0000474	AM931579	18245249
BGC0000475	AY986476	15883371
BGC0000476	DQ869558	17086177
BGC0000477	EU290742	18425112
BGC0000478	EU290743	18425112
BGC0000479	HQ655154	21513887
BGC0000480	EU290741	18425112
BGC0000481	NZ_AABK04000003	16751554
BGC0000482	EU290744	18425112
BGC0000483	CAIH01000183	23911585
BGC0000484	GU552553	21251913
BGC0000485	Z34920	7551031
BGC0000486	AF076529	15162201
BGC0000487	EU624394	18552180
BGC0000488	AJ566621	14532033
BGC0000489	Y12234	9484890
BGC0000490	AMQS01000001	21057028
BGC0000491	AB007043	9648219;19114506
BGC0000492	AB462499	19139222
BGC0000493	AB649282	21948835
BGC0000494	DQ650653	17464077
BGC0000495	FJ547091	19400806
BGC0000496	AP009493	24305602
BGC0000497	DQ145752	16194596
BGC0000498	EU497962	19202107
BGC0000499	AF062647	10224011
BGC0000500	KF573751	24412962
BGC0000501	CP001700	22725258
BGC0000502	KJ000001	24532070
BGC0000503	AJ536588	12642677;21770392
BGC0000504	L37110	7961506
BGC0000505	AB600897	22138996
BGC0000506	HQ871873	21239550;25381239
BGC0000507	Y14023	9726851
BGC0000508	X62386	1740156;841
BGC0000509	JQ979180	24866416;21802007;22524291
BGC0000510	U20348	7607233
BGC0000511	AF233755	11872722;25381239
BGC0000513	AM420293.1	22556031
BGC0000514	DQ367437	17194841
BGC0000515	CP000557	22431611;24169799
BGC0000516	ABVH01000020	22431611
BGC0000517	BA000004.3	17085596;17233677;18940665;19678697;22003874
BGC0000518	GG657757	24802639
BGC0000519	FN178622.1	20082397
BGC0000520	AF167432	9464377;10608807;10658659;10974102;11251818;16751576;15023056;18791001;23433070;21827422;20616009
BGC0000521	U91581	8017945;9361411;10960114;10986268
BGC0000522	AB740019	23103973
BGC0000523	Z54312	7521995;7961627;9079878;10832642;11823212
BGC0000525	GU949560	20578714
BGC0000526	DQ835394	12450808;17581139;20023075
BGC0000527	AJ250862	10831439;2181159
BGC0000528	AM711867	16957199
BGC0000529	HM536998	20628010;24459268;24422756;21478362;24627484
BGC0000530	AHSM01000014	9237644
BGC0000531	AF238860	10919773
BGC0000532	U40620	8021218;8592997;9461412
BGC0000533	AF154675	10473390
BGC0000534	EF060238	17464078
BGC0000535	HM219853	21183019
BGC0000536	AB362350	19120645
BGC0000537	DQ146939	16461661
BGC0000538	Z18947	1482192;7626780
BGC0000539	AB121757	11193411;16233732;15322349
BGC0000540	JQ728481	17071789
BGC0000541	JX679672	23167271
BGC0000542	KF111343	24382692
BGC0000543	Z49865	7556197
BGC0000544	HF570921	23475977;23776227;19301921;22083835;17469849
BGC0000545	AJ276653	11741840
BGC0000546	NZ_DS999645	21983601
BGC0000547	GQ857551	21310787
BGC0000548	AY005472	8357242;114
BGC0000549	JN564797	22101034
BGC0000550	JN831266	22567013
BGC0000551	AL645882	12000953;8843436
BGC0000552	AB179778	15673730
BGC0000553	NZ_DS999644	21983601
BGC0000554	NZ_DS999644	21983601
BGC0000555	AP003088	10417203
BGC0000556	AB030831	11328600
BGC0000557	AF026542	8328813;104
BGC0000558	AF014938	9722542
BGC0000559	U09819	195183;178855;201261;201725;202094;11972779;12622817;12705882;25381239;8439156;1539969;8085823
BGC0000560	JX912247	23736764;21985154
BGC0000561	AB434921	19191960
BGC0000562	X93303	8633879
BGC0000563	HQ328852	20351769;21229987
BGC0000564	AM412317	20581111;21315972
BGC0000565	AB205012	16339937
BGC0000566	AE004092	10858242;15819624;18375757;19286651;21822292;22001374
BGC0000567	L06719	8509324
BGC0000568	FM877811	19413755
BGC0000569	FN668567	20971906;21950656;21568297;23823732;23878226;24085393
BGC0000570	CP002395	22949633
BGC0000571	FR687359	23897438
BGC0000572	CP004117	18671394
BGC0000573	CP000928	23897438
BGC0000574	CP002008	23214991
BGC0000575	AB593691	22388571
BGC0000576	AP012320	23897438
BGC0000577	AP010805	23897438
BGC0000578	NZ_DS999644	21983601
BGC0000579	NZ_CM000951	21983601
BGC0000580	AEQX01000392	24446383
BGC0000581	AF061787	8655570;10198038
BGC0000582	HQ148718	20805503;22841713;7802859
BGC0000583	NC_010572	21421760
BGC0000584	AJ223631	7952189
BGC0000585	X57583	8522520
BGC0000586	AF063590	9864332;11679081
BGC0000587	AJ009631	9783429;10471561;11181394;12499189;15047525
BGC0000588	AY237108	12897830;147422
BGC0000589	AJ586887	12949180
BGC0000590	FJ895580	20979348
BGC0000591	AB011418	9972273
BGC0000592	AM943877	18683268;22118675
BGC0000593	AM943878	18683268;12956505
BGC0000594	EU438895	19035375
BGC0000595	NC_003888	21983601
BGC0000596	NZ_GG657756	21983601
BGC0000597	NZ_GG753626	21983601
BGC0000598	JX456532	22983711;24476823;20795624;21124508;15631460
BGC0000599	HQ446454	20435915
BGC0000600	FJ977580	19732155
BGC0000601	AL009126	20805502;12817086
BGC0000602	AJ430547	15066831
BGC0000603	FJ472825	24937678;24769844;20154110;2071486
BGC0000604	FJ461359	19338336
BGC0000605	JN052143	21788474
BGC0000606	AB820694	24768308
BGC0000607	KM613043	25313391
BGC0000608	HM236314	21107653
BGC0000609	GU564398	20473441
BGC0000610	FJ438820	19678698
BGC0000611	FJ436355	19246004
BGC0000612	AE016877	19196969;19246004
BGC0000613	FJ461360	19338336
BGC0000614	FJ652572	19265401
BGC0000615	HM467197	20562278
BGC0000616	CP000560	14762003;17704766
BGC0000617	AF300457	11097892
BGC0000618	CP003583	8633865
BGC0000619	AB710328	11129595
BGC0000620	AB712393	23103973
BGC0000621	M18346	2643580
BGC0000622	EU014074	18689470
BGC0000623	AY007251	11238971
BGC0000624	EF592482	19591924
BGC0000625	AB819757	23995943
BGC0000626	KJ504104	24821187
BGC0000627	EQ963480	24391870;24841822;26842395;27166860
BGC0000628	ACGO02000004	25215495
BGC0000629	AY559849;AM921700	15528556;19801473
BGC0000630	AY957386	16434154
BGC0000631	CP009816.1	19035644;15986930
BGC0000632	AB264550	18503195
BGC0000633	AB070934	11572948
BGC0000634	AB181388	16085816
BGC0000635	AB206672	7733978;7592436
BGC0000636	AF139916	10821176
BGC0000637	AF159510	11432736
BGC0000638	D90087	2254247
BGC0000639	DQ090833	16332796
BGC0000640	DQ090834	16332796
BGC0000641	DQ090835	16332796
BGC0000642	DQ090836	16332796
BGC0000643	DQ309446	16781830
BGC0000644	DQ369754	17008032
BGC0000645	FJ040212	18820900
BGC0000646	FJ151553	19146479
BGC0000647	S71770	8021167
BGC0000648	Z21955	7588751;11748235;11914353;18315685
BGC0000649	AF272737	11200234
BGC0000650	DQ286432	16625353
BGC0000651	AB307968	18071268
BGC0000652	EF397639	17392281
BGC0000653	HQ292065	21284395
BGC0000654	DQ230532	16632249;18157854;20540056;21179045;21685164;24861595
BGC0000655	FJ436355	19246004
BGC0000656	AF408848	12189420
BGC0000657	HQ830028	21490938
BGC0000658	AP009493	24305602
BGC0000659	AM420293	22187221
BGC0000660	AL645882	12000953;8843436
BGC0000661	CP001037	19482954;21742508;18954141;17351042;19780555;19429608;21742508;19630972;21501195;21786790;12388673;1508978;11926312;8405307
BGC0000662	AP009493	24305602
BGC0000663	AL645882	12000953;8843436
BGC0000664	AP009493	24305602
BGC0000665	HE815466	22591327;22968942;23205935
BGC0000666	JQ812811.1	22591327;23205935
BGC0000667	HG792016	24239699;27921136
BGC0000668	KF811479	24677572;25218740
BGC0000669	NC_003076	21876149;22882494
BGC0000670	NC_003076.8	18356490
BGC0000671	AP008210	17872948
